env,k,elapse,profit
0,2,32,2184.475
0,2,32,1621.9
0,2,32,1580.575
0,2,32,2362.65
0,2,32,1643.575
0,2,32,1891.05
0,2,32,1968.625
0,2,32,2933.65
0,2,32,2299.25
0,2,32,1646.45
0,2,32,2658.375
0,2,32,2139.45
0,2,32,2294.05
0,2,32,2744.075
0,2,32,1670.85
0,2,32,2539.575
0,2,32,1541.9
0,2,32,2837.1
0,2,32,2259.45
0,2,32,2023.45
0,2,32,2816.575
0,2,32,2021.65
0,2,32,2092.6
0,2,32,1833.825
0,2,32,1887.775
0,2,32,3188.425
0,2,32,2458.1
0,2,32,2756.75
0,2,32,2492.025
0,2,32,2187.625
0,2,32,2485.45
0,2,32,2028.5
0,2,32,2843.75
0,2,32,2044.925
0,2,32,2109.9
0,2,32,2511.475
0,2,32,2506.9
0,2,32,2250.875
0,2,32,1799.275
0,2,32,1984.95
0,2,32,1854.4
0,2,32,2079.625
0,2,32,1770.7
0,2,32,1606.875
0,2,32,2065.95
0,2,32,2017.5
0,2,32,2751.525
0,2,32,2166.8
0,2,32,1829.7
0,2,32,2397.925
0,2,64,3001.775
0,2,64,2025.1
0,2,64,2081.85
0,2,64,2056.4
0,2,64,2833.225
0,2,64,2188.7
0,2,64,2453.475
0,2,64,2261.875
0,2,64,2128.35
0,2,64,2052.325
0,2,64,1625.65
0,2,64,2190.625
0,2,64,2080.825
0,2,64,2333.85
0,2,64,1635.925
0,2,64,2897.35
0,2,64,1686.75
0,2,64,3000.3
0,2,64,1485.9
0,2,64,3274.225
0,2,64,2780.625
0,2,64,2136.7
0,2,64,2126.5
0,2,64,1894.05
0,2,64,1770.575
0,2,64,1946.725
0,2,64,2512.175
0,2,64,1755.925
0,2,64,2563.05
0,2,64,2050.425
0,2,64,2327.425
0,2,64,2102.625
0,2,64,2945.25
0,2,64,1798.35
0,2,64,2214.875
0,2,64,2052.425
0,2,64,2203.75
0,2,64,1768.35
0,2,64,2267.3
0,2,64,2196.85
0,2,64,3394.125
0,2,64,2897.375
0,2,64,2494.5
0,2,64,1661.35
0,2,64,2270.525
0,2,64,2125.925
0,2,64,1610.9
0,2,64,2448.45
0,2,64,1877.075
0,2,64,1990.3
0,2,128,2021.175
0,2,128,1881.1
0,2,128,1464.25
0,2,128,1612.775
0,2,128,2072.425
0,2,128,1735.35
0,2,128,1448.325
0,2,128,1693.375
0,2,128,1704.85
0,2,128,1907.05
0,2,128,2444.7
0,2,128,1782.05
0,2,128,2988.65
0,2,128,2047.1
0,2,128,2834.45
0,2,128,2586.7
0,2,128,2987.0
0,2,128,2247.35
0,2,128,2609.475
0,2,128,2134.95
0,2,128,1709.025
0,2,128,2403.125
0,2,128,1733.7
0,2,128,2483.45
0,2,128,2504.3
0,2,128,2365.05
0,2,128,2181.05
0,2,128,1956.425
0,2,128,2268.15
0,2,128,2176.075
0,2,128,1768.925
0,2,128,1380.3
0,2,128,2422.3
0,2,128,1904.675
0,2,128,1874.475
0,2,128,2578.9
0,2,128,2258.325
0,2,128,2371.8
0,2,128,2396.375
0,2,128,2055.025
0,2,128,2832.3
0,2,128,2689.475
0,2,128,2095.575
0,2,128,3172.525
0,2,128,1986.4
0,2,128,2647.1
0,2,128,1964.9
0,2,128,1449.9
0,2,128,2034.4
0,2,128,2472.6
0,2,256,2030.0
0,2,256,2425.8
0,2,256,2608.85
0,2,256,2273.875
0,2,256,2750.3
0,2,256,2852.525
0,2,256,2510.45
0,2,256,2993.475
0,2,256,1574.025
0,2,256,2205.425
0,2,256,2123.825
0,2,256,2017.2
0,2,256,2255.075
0,2,256,1767.8
