env,mutation,k,elapse,profit
0,0,2,32,1440.375
0,0,2,32,657.8
0,0,2,32,1434.75
0,0,2,32,1441.15
0,0,2,32,798.525
0,0,2,32,1001.0
0,0,2,32,1197.15
0,0,2,32,1451.375
0,0,2,32,1267.625
0,0,2,32,901.225
0,0,2,32,1267.9
0,0,2,32,1020.45
0,0,2,32,1621.9
0,0,2,32,1319.125
0,0,2,32,1581.95
0,0,2,32,1191.05
0,0,2,32,1116.0
0,0,2,32,1269.4
0,0,2,32,1166.45
0,0,2,32,823.6
0,0,2,32,722.825
0,0,2,32,1285.475
0,0,2,32,1303.7
0,0,2,32,1450.2
0,0,2,32,1094.95
0,0,2,32,1149.1
0,0,2,32,802.075
0,0,2,32,1132.05
0,0,2,32,1243.9
0,0,2,32,1061.0
0,0,2,32,963.875
0,0,2,32,1259.05
0,0,2,32,1290.7
0,0,2,32,1837.0
0,0,2,32,1005.675
0,0,2,32,1438.825
0,0,2,32,1148.575
0,0,2,32,932.575
0,0,2,32,998.925
0,0,2,32,1617.775
0,0,2,32,1112.425
0,0,2,32,905.525
0,0,2,32,1043.775
0,0,2,32,918.725
0,0,2,32,1152.85
0,0,2,32,1102.1
0,0,2,32,1364.35
0,0,2,32,1047.7
0,0,2,32,1068.475
0,0,2,32,1619.875
0,0,2,64,1424.55
0,0,2,64,1302.625
0,0,2,64,718.575
0,0,2,64,1648.5
0,0,2,64,1290.875
0,0,2,64,1273.45
0,0,2,64,1464.325
0,0,2,64,1134.975
0,0,2,64,1301.15
0,0,2,64,1356.15
0,0,2,64,1263.9
0,0,2,64,1576.35
0,0,2,64,1038.2
0,0,2,64,1105.725
0,0,2,64,1427.1
0,0,2,64,1056.525
0,0,2,64,1140.1
0,0,2,64,1466.15
0,0,2,64,1227.9
0,0,2,64,995.05
0,0,2,64,1257.925
0,0,2,64,1321.85
0,0,2,64,1155.65
0,0,2,64,1009.35
0,0,2,64,1136.575
0,0,2,64,1413.075
0,0,2,64,1312.675
0,0,2,64,1128.5
0,0,2,64,614.825
0,0,2,64,686.55
